,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6636.508445,6754.6,118.0915547,118.0915547,6562.105524,6610.235755,6636.508445,6738.254076,7566.452038
1/1/2017,6664.501559,6128.4,-536.1015591,536.1015591,6600.807689,6636.977769,6664.501559,6747.661709,7496.910463
1/1/2018,6273.863468,5872.5,-401.3634676,401.3634676,5944.861868,6129.831594,6273.863468,6488.45604,7128.61125
1/1/2019,6132.014213,6181.4,49.38578656,49.38578656,5522.105053,5903.581101,6132.014213,6381.142918,6974.209484
1/1/2020,6272.245284,6354.9,82.65471611,82.65471611,5840.355012,6091.977006,6272.245284,6495.053651,7036.519854
1/1/2021,6314.149327,6566.7,252.5506731,252.5506731,5980.210199,6157.967821,6314.149327,6541.442343,7130.98828
1/1/2022,6405.509755,5527.8,-877.7097547,877.7097547,6038.735651,6217.44282,6405.509755,6698.141802,7473.536508
1/1/2023,5796.330798,5073.3,-723.0307978,723.0307978,5245.281426,5565.692462,5796.330798,6078.133846,6733.792032
1/1/2024,5082.434129,4871.9,-210.5341286,210.5341286,4578.198594,4890.279921,5082.434129,5309.417677,5816.061711
1/1/2025,4742.15829,4523.3,-218.8582897,218.8582897,4333.340852,4597.585355,4742.15829,4925.914012,5357.392981
