,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6669.602464,6754.6,84.99753606,84.99753606,6538.604556,6613.296744,6669.602464,6821.415097,7499.103171
1/1/2017,6657.743078,6128.4,-529.343078,529.343078,6486.83109,6576.680464,6657.743078,6817.939003,7456.686499
1/1/2018,6302.870231,5872.5,-430.3702306,430.3702306,5840.027847,6112.387264,6302.870231,6565.192083,7252.086168
1/1/2019,6070.483383,6181.4,110.9166173,110.9166173,5486.837202,5848.385107,6070.483383,6330.691279,6936.952547
1/1/2020,6238.966148,6354.9,115.9338521,115.9338521,5750.357637,6040.925567,6238.966148,6482.276537,7059.905999
1/1/2021,6293.222822,6566.7,273.4771781,273.4771781,5952.688865,6145.675438,6293.222822,6509.004564,7078.110516
1/1/2022,6447.947752,5527.8,-920.1477519,920.1477519,6034.094244,6236.415201,6447.947752,6754.354291,7477.461382
1/1/2023,5651.929395,5073.3,-578.6293955,578.6293955,4567.881132,5252.341419,5651.929395,6108.122949,7168.435248
1/1/2024,5030.044777,4871.9,-158.1447766,158.1447766,4215.302994,4722.351348,5030.044777,5385.379866,6100.360845
1/1/2025,4805.894145,4523.3,-282.5941445,282.5941445,4294.62849,4626.131701,4805.894145,5034.266604,5515.785793
