,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6644.963667,6754.6,109.6363332,109.6363332,6545.21528,6607.448433,6644.963667,6776.023865,7571.083982
1/1/2017,6631.661182,6128.4,-503.2611817,503.2611817,6510.34247,6568.249886,6631.661182,6824.610125,7713.667891
1/1/2018,6285.16607,5872.5,-412.6660701,412.6660701,5895.121718,6132.548975,6285.16607,6491.246442,7219.683629
1/1/2019,6152.798646,6181.4,28.60135428,28.60135428,5712.946382,5985.726679,6152.798646,6347.941,6925.814054
1/1/2020,6249.028685,6354.9,105.8713153,105.8713153,5800.220889,6069.032287,6249.028685,6472.982348,7079.176705
1/1/2021,6269.098362,6566.7,297.6016379,297.6016379,5885.770668,6120.64608,6269.098362,6456.243391,6999.453455
1/1/2022,6458.339109,5527.8,-930.5391094,930.5391094,6002.233782,6248.852214,6458.339109,6776.914658,7689.850815
1/1/2023,5667.852279,5073.3,-594.5522794,594.5522794,4970.711474,5413.979892,5667.852279,5946.443998,6727.898301
1/1/2024,4948.564974,4871.9,-76.66497445,76.66497445,4220.033455,4674.35754,4948.564974,5263.246748,5872.610713
1/1/2025,4704.00179,4523.3,-180.7017896,180.7017896,4077.900044,4467.500663,4704.00179,4965.623688,5463.339413
