,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6678.403868,6754.6,76.19613155,76.19613155,6472.216997,6596.12635,6678.403868,6858.94779,7580.094778
1/1/2017,6666.129787,6128.4,-537.7297865,537.7297865,6483.942912,6583.150901,6666.129787,6824.925272,7558.725225
1/1/2018,6259.178197,5872.5,-386.6781969,386.6781969,5838.661631,6097.127506,6259.178197,6495.434153,7150.488692
1/1/2019,6202.300653,6181.4,-20.90065282,20.90065282,5769.468214,6036.080256,6202.300653,6424.379132,7006.050341
1/1/2020,6278.956477,6354.9,75.94352349,75.94352349,5935.326163,6140.369342,6278.956477,6476.34007,7004.434785
1/1/2021,6361.086828,6566.7,205.6131724,205.6131724,5982.697008,6197.444048,6361.086828,6603.807842,7258.810932
1/1/2022,6497.225898,5527.8,-969.4258976,969.4258976,5968.926821,6263.2429,6497.225898,6799.851065,7510.094402
1/1/2023,5689.385285,5073.3,-616.085285,616.085285,4887.880655,5389.011921,5689.385285,6026.753279,6803.609765
1/1/2024,5028.652064,4871.9,-156.7520637,156.7520637,4188.278479,4724.187196,5028.652064,5355.024475,6005.408133
1/1/2025,4690.770236,4523.3,-167.4702357,167.4702357,3923.134976,4434.569176,4690.770236,4959.849898,5470.136213
