,Actual,Forecast,p90,p70,p50,p30,p10
2016,6754.6,6799.265625,7618.127832031251,6997.92275390625,6799.265869140625,6629.544091796875,6166.067626953125
2017,6128.4,6711.265625,7070.908593750001,6850.570654296875,6711.265380859375,6593.699609375,6287.76240234375
2018,5872.5,6668.67626953125,7430.065673828126,7153.0771484375,6668.67626953125,6098.849853515625,5413.563720703125
2019,6181.4,5794.5380859375,7072.864990234377,6014.296533203125,5794.5380859375,5615.676513671875,5305.685595703125
2020,6354.9,6234.16015625,7144.62216796875,6674.886083984375,6234.160400390625,6112.445703125,5690.681982421875
2021,6566.7,6384.7060546875,6833.219287109376,6499.1349609375,6384.705810546875,6276.79794921875,6108.0828125
2022,5527.8,6613.205078125,7021.937548828126,6680.239990234375,6613.205078125,6509.07705078125,6258.7916015625
2023,5073.3,6389.7978515625,8195.137402343751,6975.827001953125,6389.797607421875,5854.39091796875,5271.901123046875
2024,4871.9,5339.8271484375,6712.275830078126,5622.129541015624,5339.827392578125,5052.36474609375,4506.29853515625
2025,4523.3,4824.68798828125,5491.962548828125,5004.7177734375,4824.68798828125,4621.335546875,4218.607470703125
