,Actual,Forecast,p90,p70,p50,p30,p10
2016,6754.6,6911.36279296875,7341.056640625001,6984.754443359375,6911.36279296875,6858.27919921875,6681.347607421875
2017,6128.4,6956.19287109375,7147.786181640625,7025.533740234375,6956.19287109375,6862.940087890625,6733.51552734375
2018,5872.5,7470.1884765625,10519.377929687502,8479.99111328125,7470.188720703125,5920.058154296875,4324.520361328125
2019,6181.4,5981.703125,6361.4484375,6105.186181640625,5981.703125,5898.34619140625,5662.94619140625
2020,6354.9,6263.74609375,6483.072265625,6343.23916015625,6263.746337890625,6213.955615234375,6095.10888671875
2021,6566.7,6353.193359375,7032.810839843751,6504.881005859375,6353.193359375,6237.918505859375,5954.0583984375
2022,5527.8,6534.8662109375,6861.510839843751,6681.821826171875,6534.8662109375,6385.409326171875,6197.358642578125
2023,5073.3,6674.63037109375,8408.153125,7109.3279296875,6674.63037109375,6105.470117187499,4504.23447265625
2024,4871.9,5162.306640625,5719.830859375,5347.567041015625,5162.306884765625,4975.239404296875,4601.56435546875
2025,4523.3,4826.51611328125,5172.116943359375,4907.46220703125,4826.51611328125,4695.7578125,4476.403173828125
