,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6748.9478,6754.6,5.652246094,5.652246094,6380.9834,6618.654,6748.9478,6983.5894,7614.3438
1/1/2017,6802.365,6128.4,-673.9652344,673.9652344,6487.6045,6677.74,6802.365,7028.247,7609.619
1/1/2018,6219.6187,5872.5,-347.1186523,347.1186523,5668.033,6059.001,6219.6187,6481.8296,7031.56
1/1/2019,5928.9995,6181.4,252.4004883,252.4004883,5420.7056,5791.3696,5928.9995,6169.955,6696.759
1/1/2020,6142.004,6354.9,212.8960937,212.8960937,5586.237,5958.7676,6142.004,6406.047,6984.216
1/1/2021,6409.6426,6566.7,157.0574219,157.0574219,5770.463,6174.704,6409.6426,6724.978,7361.3086
1/1/2022,6658.168,5527.8,-1130.367969,1130.367969,6007.553,6407.135,6658.168,6966.062,7584.4136
1/1/2023,5765.291,5073.3,-691.9910156,691.9910156,5144.8413,5558.419,5765.291,6041.817,6575.825
1/1/2024,5062.824,4871.9,-190.9242188,190.9242188,4355.9766,4852.8896,5062.824,5407.2627,6080.665
1/1/2025,4737.4097,4523.3,-214.109668,214.109668,4093.7708,4560.9717,4737.4097,5031.701,5653.123
