,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
2016-01-01,6667.667,6754.6,86.93300781250036,86.93300781250036,6523.49,6609.3926,6667.667,6845.292,7373.3306
2017-01-01,6728.0903,6128.4,-599.6903320312504,599.6903320312504,6561.298,6650.187,6728.0903,6933.6885,7552.5312
2018-01-01,6190.937,5872.5,-318.43701171875,318.43701171875,5733.0566,6070.1562,6190.937,6399.17,6879.73
2019-01-01,5902.4453,6181.4,278.95468749999964,278.95468749999964,5445.0234,5791.17,5902.4453,6101.9775,6585.6943
2020-01-01,6176.499,6354.9,178.40097656249964,178.40097656249964,5812.7495,6067.7744,6176.499,6358.406,6801.772
2021-01-01,6360.949,6566.7,205.75078124999982,205.75078124999982,5931.366,6209.4795,6360.949,6575.3086,7045.4106
2022-01-01,6608.4546,5527.8,-1080.6545898437498,1080.6545898437498,6104.7153,6412.238,6608.4546,6868.486,7413.042
2023-01-01,5728.108,5073.3,-654.8079101562498,654.8079101562498,5200.843,5570.098,5728.108,5978.625,6498.0747
2024-01-01,5097.599,4871.9,-225.69912109375036,225.69912109375036,4425.0024,4905.5464,5097.599,5440.0234,6115.366
2025-01-01,4756.5327,4523.3,-233.23271484374982,233.23271484374982,4131.627,4595.7305,4756.5327,5067.9683,5769.9316
2026-01-01,,0.0,-4435.06396484375,4435.06396484375,3813.3262,4262.5566,4435.064,4692.846,5292.1665
