,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,6676.288,6754.6,78.31191406,78.31191406,6463.381,6591.1294,6676.288,6860.8823,7585.4624
1/1/2017,6695.3936,6128.4,-566.9935547,566.9935547,6478.967,6598.1226,6695.3936,6890.622,7508.7915
1/1/2018,6189.5044,5872.5,-317.0043945,317.0043945,5771.2944,6033.079,6189.5044,6421.6772,7078.1445
1/1/2019,5916.1797,6181.4,265.2203125,265.2203125,5480.1465,5752.105,5916.1797,6145.8857,6743.5176
1/1/2020,6139.69,6354.9,215.2100586,215.2100586,5843.1133,6016.178,6139.69,6341.373,6905.374
1/1/2021,6323.4307,6566.7,243.2693359,243.2693359,5710.2354,6066.1445,6323.4307,6654.8354,7474.2197
1/1/2022,6569.474,5527.8,-1041.674121,1041.674121,5906.3354,6294.4346,6569.474,6908.3384,7713.1777
1/1/2023,5661.5337,5073.3,-588.2336914,588.2336914,4866.876,5364.5283,5661.5337,5994.618,6762.636
1/1/2024,4964.3774,4871.9,-92.47744141,92.47744141,3999.8696,4621.7324,4964.3774,5326.7964,6054.5073
1/1/2025,4695.4053,4523.3,-172.1052734,172.1052734,3820.3408,4382.3403,4695.4053,5030.7773,5643.237
