Actual,Forecast,p90,p70,p50,p30,p10
6754.6,6848.865234375,7974.573095703126,7171.887939453125,6848.865478515625,6555.482568359375,6167.3091796875
6128.4,6728.7099609375,8037.129052734375,7107.145703125,6728.709716796875,6495.378759765625,6152.23876953125
5872.5,6919.86962890625,7970.256738281251,7252.63369140625,6919.86962890625,6491.965625,5948.348193359375
6181.4,5869.55712890625,6525.985351562501,6098.357373046875,5869.55712890625,5592.656103515625,5298.351416015625
6354.9,6302.82275390625,6756.84560546875,6455.375732421875,6302.82275390625,6042.38388671875,5708.9900390625
6566.7,6799.8759765625,8991.308691406257,7336.071923828124,6799.875732421875,5923.444775390625,3905.60439453125
5527.8,6578.5400390625,7191.53046875,6773.0544921875,6578.540283203125,6369.397705078125,6127.409814453125
5073.3,5956.2783203125,6651.531054687501,6154.724560546874,5956.278076171875,5627.43603515625,5213.031005859375
4871.9,5422.39599609375,6410.623144531251,5843.47412109375,5422.39599609375,5034.582373046875,4345.610009765625
4523.3,4761.810546875,5002.506640625,4839.921923828125,4761.810791015625,4653.601953125,4564.517578125
