Actual,Forecast,p90,p70,p50,p30,p10
6754.6,6990.00390625,7319.42724609375,7085.929638671875,6990.003662109375,6904.09921875,6814.02783203125
6128.4,7015.3857421875,7197.982275390626,7071.5099609375,7015.3857421875,6950.149951171875,6804.170068359375
5872.5,6535.818359375,7380.40302734375,6850.999951171875,6535.818603515625,6279.257373046875,5610.099462890625
6181.4,6585.13818359375,7832.681787109375,7135.626025390625,6585.13818359375,5983.955712890625,5156.510791015625
6354.9,6325.8349609375,6668.78759765625,6417.425634765625,6325.835205078125,6155.62392578125,5908.102392578125
6566.7,6406.884765625,6831.470996093751,6520.570361328125,6406.885009765625,6323.255126953125,6146.32236328125
5527.8,6604.5478515625,7344.879589843752,6804.000439453125,6604.547607421875,6436.794921875,6206.358203125
5073.3,6053.0732421875,7475.897705078127,6624.93203125,6053.0732421875,5519.131787109375,4524.6564453125
4871.9,5401.25,5975.54521484375,5564.91181640625,5401.249755859375,5175.048486328125,4830.2708984375
4523.3,4753.6435546875,5492.483349609375,4979.33642578125,4753.6435546875,4560.76328125,4133.10595703125
