,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
2016-01-01,6632.8193,6754.6,121.78066406250036,121.78066406250036,6555.998,6605.9307,6632.8193,6734.9976,7565.6895
2017-01-01,6691.4175,6128.4,-563.0174804687504,563.0174804687504,6634.6455,6677.2925,6691.4175,6769.4263,7663.505
2018-01-01,6203.1084,5872.5,-330.6083984375,330.6083984375,5864.6914,6062.207,6203.1084,6402.508,7009.721
2019-01-01,5888.6777,6181.4,292.72226562499964,292.72226562499964,5455.547,5716.8115,5888.6777,6101.5405,6669.147
2020-01-01,6113.272,6354.9,241.62802734374964,241.62802734374964,5793.8,5974.715,6113.272,6317.932,6885.195
2021-01-01,6375.932,6566.7,190.76787109374982,190.76787109374982,5853.0894,6151.2007,6375.932,6656.302,7313.441
2022-01-01,6612.5845,5527.8,-1084.7844726562498,1084.7844726562498,5960.773,6348.0894,6612.5845,6917.1187,7630.773
2023-01-01,5751.234,5073.3,-677.9338867187498,677.9338867187498,5178.7095,5514.748,5751.234,6038.9385,6712.983
2024-01-01,5126.2085,4871.9,-254.30849609375036,254.30849609375036,4523.505,4900.213,5126.2085,5388.915,5965.7153
2025-01-01,4832.564,4523.3,-309.2639648437498,309.2639648437498,4342.965,4653.6914,4832.564,5052.4795,5564.762
2026-01-01,,0.0,-4418.72802734375,4418.72802734375,3881.5996,4221.587,4418.728,4652.786,5202.296
