,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
2016-01-01,6665.9155,6754.6,88.68447265625036,88.68447265625036,6534.29,6608.9883,6665.9155,6819.2954,7496.752
2017-01-01,6706.5312,6128.4,-578.1312500000004,578.1312500000004,6568.9146,6646.099,6706.5312,6863.0815,7517.0435
2018-01-01,6219.051,5872.5,-346.55078125,346.55078125,5747.76,6031.1753,6219.051,6486.8496,7212.7847
2019-01-01,5889.234,6181.4,292.16611328124964,292.16611328124964,5436.2446,5716.453,5889.234,6119.341,6702.824
2020-01-01,6128.269,6354.9,226.63095703124964,226.63095703124964,5781.4683,5984.5586,6128.269,6336.5703,6890.4487
2021-01-01,6256.443,6566.7,310.2571289062498,310.2571289062498,5703.732,6023.2705,6256.443,6553.35,7264.834
2022-01-01,6573.7456,5527.8,-1045.9456054687498,1045.9456054687498,5979.323,6320.361,6573.7456,6904.5195,7680.267
2023-01-01,5599.687,5073.3,-526.3870117187498,526.3870117187498,4480.247,5190.8564,5599.687,6064.4478,7149.5337
2024-01-01,5012.988,4871.9,-141.08779296875036,141.08779296875036,4031.5264,4652.192,5012.988,5421.6733,6248.6865
2025-01-01,4732.323,4523.3,-209.02324218749982,209.02324218749982,4009.2913,4475.5127,4732.323,5039.055,5680.719
2026-01-01,,0.0,-4281.9189453125,4281.9189453125,3578.9724,4052.2236,4281.919,4531.552,5118.87
