,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
2016-01-01,6641.423,6754.6,113.17714843750036,113.17714843750036,6538.6753,6602.3516,6641.423,6775.876,7578.9126
2017-01-01,6662.365,6128.4,-533.9652343750004,533.9652343750004,6520.6094,6595.731,6662.365,6858.336,7756.3423
2018-01-01,6179.256,5872.5,-306.755859375,306.755859375,5779.648,6038.556,6179.256,6353.093,7024.771
2019-01-01,5845.7793,6181.4,335.62070312499964,335.62070312499964,5434.5537,5704.3267,5845.7793,6026.0015,6607.5396
2020-01-01,6117.3784,6354.9,237.52158203124964,237.52158203124964,5727.2046,5968.108,6117.3784,6318.8105,6865.231
2021-01-01,6286.411,6566.7,280.2888671874998,280.2888671874998,5707.3105,6065.032,6286.411,6547.1714,7160.8965
2022-01-01,6685.127,5527.8,-1157.3269531249998,1157.3269531249998,5941.93,6399.5977,6685.127,7004.8604,7736.616
2023-01-01,5626.6353,5073.3,-553.3352539062498,553.3352539062498,4906.7715,5365.843,5626.6353,5916.162,6698.83
2024-01-01,4966.823,4871.9,-94.92324218750036,94.92324218750036,4110.664,4644.2695,4966.823,5329.049,6003.857
2025-01-01,4636.457,4523.3,-113.15703124999982,113.15703124999982,3893.2654,4360.166,4636.457,4944.345,5509.1167
2026-01-01,,0.0,-4423.7978515625,4423.7978515625,3820.938,4208.0713,4423.798,4684.555,5228.8247
