model,MAE,RMSE,SMAPE,MAPE
Moirai_base,181.32,189.96,16.63,17.63
Moirai_small,181.69,192.61,15.72,16.35
Chronos_bolt_base,190.82,215.55,17.77,17.44
Chronos_bolt_mini,196.37,215.43,18.04,18.19
Chronos_bolt_small,202.59,225.06,18.91,19.13
Persistence,209.63,225.51,19.16,19.95
Chronos_2,212.05,228.69,19.27,19.72
Chronos_bolt_tiny,212.33,235.36,20.69,20.28
Moirai_large,230.3,241.83,20.87,21.33
TimesFM_200,232.61,269.4,20.96,21.28
TimesFM_500,238.58,273.01,21.63,22.16
ARIMA,364.09,424.28,33.83,38.15
