,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1482.210642,1521.2,38.98935775,38.98935775,1264.033789,1386.452123,1482.210642,1599.008522,1877.782381
1/1/2017,1552.82009,1771.4,218.5799102,218.5799102,1422.448568,1502.056121,1552.82009,1597.118781,1687.413599
1/1/2018,1909.086587,1702.7,-206.3865867,206.3865867,1660.377772,1803.093636,1909.086587,2018.076545,2236.368396
1/1/2019,1676.256721,1512.3,-163.9567213,163.9567213,1573.286327,1626.973628,1676.256721,1736.384013,1865.543599
1/1/2020,1475.320975,1171.3,-304.0209752,304.0209752,1326.628921,1426.405063,1475.320975,1519.375126,1594.849381
1/1/2021,1088.216304,856,-232.216304,232.216304,910.747808,1030.361664,1088.216304,1149.546787,1301.914517
1/1/2022,774.639796,638.4,-136.239796,136.239796,668.3763211,739.0239958,774.639796,821.2162797,962.3945545
1/1/2023,556.8574114,911.4,354.5425886,354.5425886,356.8324256,490.7410924,556.8574114,620.6156481,743.4591406
1/1/2024,866.1790395,1100.4,234.2209605,234.2209605,813.3945506,850.6103285,866.1790395,879.5493499,913.3905827
1/1/2025,985.2588214,966.2,-19.05882143,19.05882143,821.7404089,912.9401108,985.2588214,1069.950928,1239.911846
