,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1378.145823,1521.2,143.0541768,143.0541768,1205.645541,1310.535133,1378.145823,1455.712752,1668.780497
1/1/2017,1540.040526,1771.4,231.3594741,231.3594741,1366.22164,1470.158796,1540.040526,1619.788316,1803.846912
1/1/2018,1794.684838,1702.7,-91.98483764,91.98483764,1564.529102,1694.870726,1794.684838,1915.240091,2188.778645
1/1/2019,1664.849982,1512.3,-152.5499825,152.5499825,1544.608588,1610.373117,1664.849982,1734.899035,1902.173431
1/1/2020,1506.13763,1171.3,-334.8376302,334.8376302,1403.959863,1470.463627,1506.13763,1544.807548,1616.353884
1/1/2021,1132.138755,856,-276.1387547,276.1387547,910.9538638,1056.141189,1132.138755,1214.597323,1384.882813
1/1/2022,798.1324135,638.4,-159.7324135,159.7324135,607.6263002,728.9109085,798.1324135,879.0283601,1063.557069
1/1/2023,626.3922933,911.4,285.0077067,285.0077067,388.94396,543.8854105,626.3922933,716.0247158,880.8772017
1/1/2024,852.2143098,1100.4,248.1856902,248.1856902,800.1088454,835.2513908,852.2143098,870.2052216,916.7233989
1/1/2025,1007.067395,966.2,-40.86739495,40.86739495,828.908966,930.3667138,1007.067395,1096.146133,1268.835565
