,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1364.678508,1521.2,156.5214917,156.5214917,1212.921341,1306.58108,1364.678508,1437.077175,1657.930256
1/1/2017,1509.582874,1771.4,261.8171264,261.8171264,1370.59035,1452.887433,1509.582874,1565.910826,1667.658537
1/1/2018,1748.259655,1702.7,-45.55965523,45.55965523,1557.241772,1666.492902,1748.259655,1852.497658,2108.434821
1/1/2019,1664.39387,1512.3,-152.0938699,152.0938699,1549.54199,1611.038093,1664.39387,1735.945419,1928.425998
1/1/2020,1498.544233,1171.3,-327.244233,327.244233,1417.1002,1464.143511,1498.544233,1535.305257,1607.606063
1/1/2021,1150.980939,856,-294.9809388,294.9809388,1028.758739,1105.098147,1150.980939,1202.533172,1334.492737
1/1/2022,840.1633853,638.4,-201.7633853,201.7633853,717.1707934,797.3848257,840.1633853,892.3026645,1047.260334
1/1/2023,606.9177029,911.4,304.4822971,304.4822971,435.1683552,531.4247733,606.9177029,684.6374892,815.6643983
1/1/2024,856.8252147,1100.4,243.5747853,243.5747853,821.1762969,846.0344352,856.8252147,866.9182425,895.6976022
1/1/2025,1004.072293,966.2,-37.87229317,37.87229317,793.5138399,917.315495,1004.072293,1086.564254,1220.146459
