Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1443.316162,1946.10116,1589.740344,1443.316162,1329.767212,1114.944128
1771.4,1563.645752,1897.212292,1683.236133,1563.645752,1440.851636,1258.648413
1702.7,1832.63623,2128.573828,1976.25144,1832.63623,1667.56355,1427.445496
1512.3,1693.378418,1836.966992,1752.956433,1693.378357,1645.871387,1563.597571
1171.3,1382.307495,1734.739844,1475.189465,1382.307495,1285.049243,1102.662695
856,1044.720581,1450.452222,1137.458289,1044.720581,933.9153931,590.5990906
638.4,928.9994507,1352.441162,985.6150391,928.9994507,848.8278687,682.6088013
911.4,692.9825439,2271.340649,997.6232239,692.9825439,464.4009216,-23.29436035
1100.4,980.1399536,1274.464526,1090.044946,980.1399536,823.4006104,473.1237732
966.2,1153.777466,1319.817993,1223.733838,1153.777466,1105.634961,996.6846313
