Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1279.385376,3347.794434,1739.991675,1279.385376,1106.423206,669.7606873
1771.4,1495.945557,1670.218469,1566.567529,1495.945618,1419.899023,1287.425134
1702.7,1807.602051,2300.492603,1999.226123,1807.60199,1653.828748,1254.277771
1512.3,1629.44458,1767.96947,1674.609973,1629.444519,1565.959326,1443.228149
1171.3,1427.276245,1725.095422,1532.773193,1427.276245,1262.886414,1166.983057
856,1052.939697,1381.32334,1170.473938,1052.939636,992.8892761,742.2677979
638.4,834.7280273,1332.955261,974.4239563,834.7279968,715.6408875,491.04823
911.4,841.2542725,1201.174207,969.8036499,841.2542419,637.7641907,427.0686951
1100.4,920.8618774,1395.898865,1090.277856,920.8618774,794.4816467,525.2936279
966.2,1144.850098,1389.430212,1219.200757,1144.850159,1075.717175,961.5082947
