Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1549.688721,2373.674609,1888.142834,1549.68866,1210.208765,762.6308105
1771.4,1548.244263,1643.123376,1580.018884,1548.244263,1507.130017,1437.903247
1702.7,1980.615601,2696.285645,2250.2729,1980.615601,1767.798389,1242.768726
1512.3,1768.986938,1883.789587,1811.20603,1768.986938,1713.954053,1616.817322
1171.3,1447.478516,1753.594958,1564.104663,1447.478577,1361.694885,1230.673486
856,1099.318848,1393.634521,1197.047668,1099.318787,977.8197754,776.6480225
638.4,855.7232666,1205.903345,962.7102783,855.7232361,703.9104553,584.4114868
911.4,594.8137207,778.7672363,663.0715393,594.8136902,542.1973511,452.9972839
1100.4,848.4381104,1193.82406,978.1575867,848.4381104,725.3863403,550.9124084
966.2,1177.554443,1312.647083,1242.068628,1177.554443,1098.647363,1017.931006
