,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1452.6052,1521.2,68.59477539,68.59477539,1164.0298,1329.522,1452.6052,1559.5753,1784.3342
1/1/2017,1577.2175,1771.4,194.1824707,194.1824707,1329.6516,1484.9164,1577.2175,1655.0076,1830.9913
1/1/2018,1854.1741,1702.7,-151.4740723,151.4740723,1571.4225,1757.5708,1854.1741,1946.926,2158.4155
1/1/2019,1731.831,1512.3,-219.5310547,219.5310547,1542.0477,1671.9897,1731.831,1790.587,1933.957
1/1/2020,1526.101,1171.3,-354.8009521,354.8009521,1335.0795,1456.3466,1526.101,1603.5342,1748.6941
1/1/2021,1101.5088,856,-245.5087891,245.5087891,889.421,1048.5309,1101.5088,1177.8799,1403.4579
1/1/2022,778.01855,638.4,-139.6185547,139.6185547,518.19775,717.839,778.01855,843.38794,1057.5657
1/1/2023,578.1853,911.4,333.2146973,333.2146973,347.21796,524.19,578.1853,620.88885,792.871
1/1/2024,953.8757,1100.4,146.5243286,146.5243286,658.4855,857.6008,953.8757,1055.9161,1246.1647
1/1/2025,1233.2047,966.2,-267.0047119,267.0047119,980.65515,1145.1594,1233.2047,1317.2283,1470.774
