,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1385.360816,1521.2,135.8391836,135.8391836,1185.766156,1310.284456,1385.360816,1474.884083,1786.352727
1/1/2017,1577.97757,1771.4,193.4224301,193.4224301,1361.401843,1489.348245,1577.97757,1676.791512,1898.784799
1/1/2018,1833.118146,1702.7,-130.4181457,130.4181457,1531.54596,1702.791105,1833.118146,1985.546475,2322.699993
1/1/2019,1672.785909,1512.3,-160.4859094,160.4859094,1551.055512,1611.701988,1672.785909,1752.435377,1952.271487
1/1/2020,1486.925859,1171.3,-315.6258588,315.6258588,1355.002392,1444.048549,1486.925859,1529.955778,1618.101241
1/1/2021,1118.375662,856,-262.3756618,262.3756618,938.3891369,1059.349237,1118.375662,1184.140544,1337.554142
1/1/2022,862.1577639,638.4,-223.7577639,223.7577639,732.3002158,815.0863892,862.1577639,918.6703428,1049.052606
1/1/2023,495.2240414,911.4,416.1759586,416.1759586,185.8259462,391.046249,495.2240414,596.5933885,779.5656192
1/1/2024,850.8075184,1100.4,249.5924816,249.5924816,774.2651278,826.0557842,850.8075184,876.2200311,937.6098894
1/1/2025,1001.844363,966.2,-35.64436286,35.64436286,800.1616395,919.9834363,1001.844363,1093.196992,1265.27819
