,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1396.4373,1521.2,124.7627441,124.7627441,1139.6976,1294.8853,1396.4373,1510.0881,1702.5364
1/1/2017,1523.823,1771.4,247.577002,247.577002,1264.0768,1421.4812,1523.823,1636.1033,1828.6355
1/1/2018,1810.2573,1702.7,-107.5573242,107.5573242,1433.4918,1650.0732,1810.2573,1961.9653,2231.0225
1/1/2019,1680.6604,1512.3,-168.3604004,168.3604004,1429.7185,1587.7054,1680.6604,1781.1079,1971.4214
1/1/2020,1471.9026,1171.3,-300.6025879,300.6025879,1258.8821,1399.6741,1471.9026,1549.768,1714.5464
1/1/2021,1067.8969,856,-211.8968506,211.8968506,919.10913,1020.26697,1067.8969,1135.1372,1330.497
1/1/2022,835.0447,638.4,-196.6446777,196.6446777,679.9287,793.1983,835.0447,880.8957,1044.9902
1/1/2023,635.92346,911.4,275.4765381,275.4765381,501.6491,603.42395,635.92346,668.10223,801.4147
1/1/2024,954.2159,1100.4,146.1841187,146.1841187,720.29236,869.30707,954.2159,1072.9224,1319.2914
1/1/2025,1196.7623,966.2,-230.5623291,230.5623291,913.7023,1091.6904,1196.7623,1306.4695,1504.8674
