,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1393.2299,1521.2,127.9701416,127.9701416,1156.1677,1304.2424,1393.2299,1475.373,1657.4983
1/1/2017,1517.1077,1771.4,254.292334,254.292334,1279.54,1433.1782,1517.1077,1585.8851,1737.2463
1/1/2018,1806.2668,1702.7,-103.5668457,103.5668457,1474.9863,1686.1046,1806.2668,1907.5613,2127.8582
1/1/2019,1707.3287,1512.3,-195.0287354,195.0287354,1441.8341,1617.4036,1707.3287,1775.6392,1918.3423
1/1/2020,1471.7495,1171.3,-300.4495117,300.4495117,1263.7759,1397.1062,1471.7495,1539.4344,1682.0336
1/1/2021,1091.8239,856,-235.8238525,235.8238525,931.86835,1028.0404,1091.8239,1161.1952,1325.1436
1/1/2022,774.3355,638.4,-135.9355103,135.9355103,674.00916,740.50934,774.3355,819.1005,958.6752
1/1/2023,578.0492,911.4,333.3508057,333.3508057,478.3653,546.7395,578.0492,620.25195,740.73047
1/1/2024,830.5439,1100.4,269.8561157,269.8561157,734.78235,794.9169,830.5439,882.44666,1036.8167
1/1/2025,1099.3864,966.2,-133.1863525,133.1863525,908.66956,1021.6511,1099.3864,1198.1238,1432.6743
