,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1421.8304,1521.2,99.36955566,99.36955566,1190.9623,1338.4839,1421.8304,1503.3538,1712.0276
1/1/2017,1532.1548,1771.4,239.2452148,239.2452148,1281.6064,1439.5906,1532.1548,1625.7317,1830.6082
1/1/2018,1776.9773,1702.7,-74.27729492,74.27729492,1458.2764,1656.3486,1776.9773,1900.0232,2157.619
1/1/2019,1644.3997,1512.3,-132.0996582,132.0996582,1388.1837,1546.1918,1644.3997,1744.3237,1937.8175
1/1/2020,1423.7173,1171.3,-252.4172852,252.4172852,1202.9332,1336.7441,1423.7173,1515.3987,1690.9336
1/1/2021,1084.6346,856,-228.6346436,228.6346436,904.8362,1012.3699,1084.6346,1163.237,1338.565
1/1/2022,836.59094,638.4,-198.1909424,198.1909424,716.13293,794.23926,836.59094,888.3805,1040.5237
1/1/2023,645.93024,911.4,265.4697632,265.4697632,532.42523,608.4796,645.93024,692.5107,821.8109
1/1/2024,856.1238,1100.4,244.2762207,244.2762207,724.893,801.297,856.1238,932.09424,1101.3818
1/1/2025,1124.9486,966.2,-158.7486084,158.7486084,871.45544,1023.6388,1124.9486,1225.2222,1399.9172
