,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1400.0115,1521.2,121.1885254,121.1885254,1160.7743,1311.7239,1400.0115,1488.4852,1684.1326
1/1/2017,1520.9795,1771.4,250.4205078,250.4205078,1281.6973,1431.8677,1520.9795,1609.1724,1795.6702
1/1/2018,1797.3667,1702.7,-94.66669922,94.66669922,1498.1646,1685.3671,1797.3667,1907.8696,2139.4758
1/1/2019,1665.7762,1512.3,-153.4762451,153.4762451,1438.622,1580.6796,1665.7762,1744.6085,1890.1022
1/1/2020,1453.0349,1171.3,-281.7349121,281.7349121,1249.1024,1373.2878,1453.0349,1528.7756,1660.3245
1/1/2021,1143.7001,856,-287.7000732,287.7000732,980.80444,1075.6584,1143.7001,1216.0096,1352.1879
1/1/2022,862.001,638.4,-223.6009766,223.6009766,740.1571,817.33435,862.001,916.7489,1044.4103
1/1/2023,634.2712,911.4,277.1288208,277.1288208,489.36896,583.1593,634.2712,694.2133,817.4956
1/1/2024,876.3104,1100.4,224.0895752,224.0895752,695.34,802.242,876.3104,964.9966,1133.6024
1/1/2025,1104.4568,966.2,-138.2567871,138.2567871,836.2814,1003.5968,1104.4568,1209.6743,1403.4369
