Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1404.3487548828125,1595.9848754882814,1476.7559448242187,1404.3487548828125,1355.6884887695312,1272.8160278320313
1771.4,1518.54443359375,1675.2631591796876,1586.8335693359375,1518.5444946289062,1453.0648315429687,1387.3308837890625
1702.7,1754.61279296875,2135.566259765625,1879.1385009765625,1754.61279296875,1690.4247680664062,1551.5484985351563
1512.3,1712.373046875,1857.2727172851562,1781.5477905273438,1712.373046875,1653.335595703125,1488.8640380859374
1171.3,1450.737060546875,1842.5348999023443,1557.0994384765625,1450.737060546875,1337.2622924804687,1144.6940185546875
856.0,1017.5706176757812,1418.8034790039064,1162.675732421875,1017.5706176757812,896.9331848144532,696.455810546875
638.4,735.0439453125,1123.2201660156254,876.1889892578125,735.0439453125,630.5208740234375,514.8613586425781
911.4,725.483154296875,1087.5543579101563,833.3910949707031,725.483154296875,594.031982421875,381.849462890625
1100.4,936.5770263671875,1434.6899658203126,1164.9827636718749,936.5770568847656,809.2375915527343,491.9091491699219
966.2,1145.501708984375,1504.8548950195316,1258.2017456054687,1145.5017700195312,1067.77548828125,920.1052734375
